NAME,MSINI,A,PER,ECC,OM,T0,K,ORBREF,ORBURL,FIRSTREF,FIRSTURL,MICROLENSING,IMAGING,TIMING,ASTROMETRY,MASS,DIST,R,MSTAR,FE,DATE,STARDISCMETH,RSTAR,TEFF
,mjupiter,au,day,,deg,jd,m/s,,,,,,,,,mjupiter,pc,rjupiter,msun,,,,rsun,k
HD 74156 b,1.77342,0.291535,51.638,0.63,174,2450793.3,108,Meschiari 2011,http://adsabs.harvard.edu/abs/2011ApJ...727..117M,Naef 2004,http://adsabs.harvard.edu/abs/2004A%26A...414..351N,0,0,0,0,1.77342,64.433,,1.238,0.130772,2004,RV,1.345,6067.98
Kepler-928 b,,0.0439026,3.9324613,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.0118667,532,0.142,0.73,-0.11,2016,Transit,0.7,4700
Kepler-180 b,,0.11269,13.817124,,90,2454968.04028,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0,0,0,0,0.0117855,,0.133821,,,2014,Transit,1.063,5731
HD 103774 b,0.368054,0.070273,5.8881,0.09,318,2455675.4,34.3,Lo Curto 2013,http://arxiv.org/abs/1301.2741,Lo Curto 2013,http://arxiv.org/abs/1301.2741,0,0,0,0,0.368054,55.4631,,1.335,0.28,2013,RV,1.43364,6489
Kepler-43 b,3.21573,0.0449294,3.024095,0,90,2454965.4159,375,Bonomo 2012,http://adsabs.harvard.edu/abs/2012A%26A...538A..96B,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,0,0,0,0,3.23143,1950,1.2,1.32,0.33,2011,Transit,1.42,6041
Kepler-76 b,,0.0278077,1.5449298,0,90,2454966.54841,306,Esteves 2015,http://adsabs.harvard.edu/abs/2015ApJ...804..150E,Faigler 2013,http://adsabs.harvard.edu/abs/2013ApJ...771...26F,0,0,0,0,2.01,,1.36,1.2,-0.1,2013,Transit,1.32,6409
Kepler-310 b,,0.113307,13.930698,,90,2454967.42673,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0,0,0,0,0.00538981,,0.106165,,,2014,Transit,0.876,5797
Kepler-222 c,,0.0913762,10.08881,,90,2455006.08263,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0,0,0,0,0.0710944,,0.413953,,,2014,Transit,0.869,5433
Kepler-1154 c,,0.0877495,8.45808312,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.0181548,1531,0.211,1.26,0.04,2016,Transit,1.43,6327
Kepler-538 b,,0.363618,81.73780699,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.017125,165,0.202,0.96,-0.05,2016,Transit,0.9,5650
KELT-6 b,0.431127,0.0794132,7.8457,0.22,80,2456269.2,42.8,Collins 2014,http://adsabs.harvard.edu/abs/2014AJ....147...39C,Collins 2014,http://adsabs.harvard.edu/abs/2014AJ....147...39C,0,0,0,0,0.43122,222,1.193,1.085,-0.281,2014,Transit,1.58,6102
WASP-13 b,0.472376,0.0537034,4.3530135,0,90,2455575.5136,55.5,Chew 2013,http://adsabs.harvard.edu/abs/2013ApJ...768...79G,Skillen 2009,http://adsabs.harvard.edu/abs/2009A%26A...502..391S,0,0,0,0,0.473883,155,1.407,1.09,0,2009,Transit,1.574,5950
Kepler-683 b,,0.035933,2.53918318,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.0145548,976,0.176,0.96,-0.03,2016,Transit,0.95,5703
Kepler-84 c,,0.107552,12.883,,,,,Xie 2013,http://adsabs.harvard.edu/abs/2012arXiv1208.3312X,Xie 2012,http://adsabs.harvard.edu/abs/2012arXiv1208.3312X,0,0,1,0,0.096,,0.215,1,-0.131,2012,Transit,1.43,5755
Kepler-918 b,,0.0580906,4.85386933,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.0128259,1245,0.155,1.11,0.06,2016,Transit,1.14,6028
Kepler-569 b,,0.202661,34.18890521,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.029815,645,0.282,0.95,0.01,2016,Transit,0.93,5616
HD 13931 b,1.88123,5.14931,4218,0.02,290,2454494,23.3,Howard 2010,http://adsabs.harvard.edu/abs/2010ApJ...721.1467H,Howard 2010,http://adsabs.harvard.edu/abs/2010ApJ...721.1467H,0,0,0,0,1.88123,44.2282,,1.022,0.03,2010,RV,1.22417,5829
Kepler-58 d,,0.229287,40.101371,,90,2454965.71799,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0,0,0,0,0.0258466,,0.262289,,,2014,Transit,1.127,6099
HAT-P-18 b,0.197162,0.0559503,5.508023,0.084,120,2454715.411,27.1,Hartman 2011,http://adsabs.harvard.edu/abs/2011ApJ...726...52H,Hartman 2011,http://adsabs.harvard.edu/abs/2011ApJ...726...52H,0,0,0,0,0.197205,166,0.995,0.77,0.1,2011,Transit,0.749,4803
Kepler-672 b,,0.218893,38.3774623,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.01966,1011,0.223,0.95,-0.01,2016,Transit,0.92,5627
Kepler-357 b,,0.0679912,6.475434,,90,2454970.57941,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0,0,0,0,0.0135483,,0.164154,,,2014,Transit,0.834,5036
Kepler-1518 b,,0.0670648,5.11177904,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.0277215,1140,0.272,1.54,0.06,2016,Transit,1.88,6846
Kepler-971 b,,0.084658,9.59070716,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.0158698,345,0.19,0.88,-0.06,2016,Transit,0.85,5431
K2-18 c,0.0239033,0.0600137,8.962,0,90,2457264.55,4.63,Cloutier 2017,http://adsabs.harvard.edu/abs/2017A%26A...608A..35C,Cloutier 2017,http://adsabs.harvard.edu/abs/2017A%26A...608A..35C,0,0,0,0,0.0239033,34,,0.359,,2017,Transit,0.411,3457
Kepler-406 c,0.00857506,0.0555527,4.62332,0,90,,1,Marcy 2014,http://adsabs.harvard.edu/abs/2014ApJS..210...20M,Marcy 2014,http://adsabs.harvard.edu/abs/2014ApJS..210...20M,0,0,0,0,0.00857506,,0.0758319,1.07,0.18,2014,Transit,1.07,5538
