NAME,MSINI,A,PER,ECC,OM,T0,K,ORBREF,ORBURL,FIRSTREF,FIRSTURL,MICROLENSING,IMAGING,TIMING,ASTROMETRY,MASS,DIST,R,MSTAR,FE,DATE,STARDISCMETH,RSTAR,TEFF
,mjupiter,au,day,,deg,jd,m/s,,,,,,,,,mjupiter,pc,rjupiter,msun,,,,rsun,k
Kepler-107 d,,0.0780099,7.958203,,90,2454970.79968,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0,0,0,0,0.00371234,,0.095459,,,2014,Transit,1.411,5851
Kepler-1049 b,,0.0344721,3.27346074,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.00245309,129,0.085,0.51,-0.33,2016,Transit,0.49,3864
Kepler-813 b,,0.13761,19.12947337,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.0159697,840,0.191,0.95,-0.13,2016,Transit,0.93,5743
Kepler-427 b,0.310432,0.091351,10.290994,0,90,2454970.02207,29.8,Hebrard 2014,http://adsabs.harvard.edu/abs/2014A%26A...572A..93H,Borucki 2010,http://adsabs.harvard.edu/abs/2010Sci...327..977B,0,0,0,0,0.29,1100,1.23,0.96,-0.19,2010,Transit,1.35,5800
Kepler-1056 b,,0.185149,27.495606,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.0271261,971,0.269,1.12,0.02,2016,Transit,1.2,6127
Kepler-1165 b,,0.0912977,9.478522,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.0115843,1081,0.138,1.13,0.05,2016,Transit,1.18,6080
Kepler-1104 b,,0.0627651,5.03728015,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.00609283,516,0.11,1.3,0.13,2016,Transit,1.41,6417
WASP-14 b,7.65457,0.0367693,2.243752,0.091,253.371,2454462.3304,993,Joshi 2009,http://adsabs.harvard.edu/abs/2009MNRAS.392.1532J,Joshi 2009,http://adsabs.harvard.edu/abs/2009MNRAS.392.1532J,0,0,0,0,7.69234,160,1.281,1.31,0,2009,Transit,1.31,6475
Kepler-50 b,,0.0825598,7.8125124,,,,,Steffen 2013,http://adsabs.harvard.edu/abs/2013MNRAS.428.1077S,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,0,0,1,0,0.0164915,,0.196096,1.23,,2011,Transit,1.88,6058
NN Ser d,0.642621,3.70596,2605,0.05,152,2458029,9.5,Horner 2012,http://adsabs.harvard.edu/abs/2012MNRAS.425..749H,Beuermann 2010,http://adsabs.harvard.edu/abs/2010A%26A...521L..60B,0,0,1,0,0.642621,,,,,2010,Timing,,
WASP-105 b,1.75919,0.0745473,7.87288,0,90,2456600.0765,194,Anderson 2017,http://adsabs.harvard.edu/abs/2017A%26A...604A.110A,Anderson 2017,http://adsabs.harvard.edu/abs/2017A%26A...604A.110A,0,0,0,0,1.75922,,0.981089,0.89,0.28,2017,Transit,0.9,5070
GJ 625 b,0.0089295,0.0783624,14.628,0.13,343.1,,1.67,Suarez Mascareno 2017,http://adsabs.harvard.edu/abs/2017A%26A...605A..92S,Suarez Mascareno 2017,http://adsabs.harvard.edu/abs/2017A%26A...605A..92S,0,0,0,0,0.0089295,6.49,,0.3,-0.38,2017,RV,0.31,3499
Kepler-1279 b,,0.170989,23.4774101,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.0129028,1017,0.156,1.21,0.06,2016,Transit,1.33,6221
Kepler-1599 b,,0.48075,122.363553,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.0120821,1004,0.145,0.99,0.02,2016,Transit,0.99,5767
Kepler-20 b,0.0266149,0.0453704,3.6961219,0,79.2157,2454966.34,3.72,Gautier 2012,http://adsabs.harvard.edu/abs/2012ApJ...749...15G,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,0,0,0,0,0.0266646,290,0.170247,0.912,0.02,2011,Transit,0.944,5466
HAT-P-27 b,0.615135,0.0399488,3.039577,0,90,2455407.9088,91.2,Brown 2012,http://adsabs.harvard.edu/abs/2012ApJ...760..139B,Anderson 2011,http://adsabs.harvard.edu/abs/2011PASP..123..555A,0,0,0,0,0.617485,204,1.02,0.92,0.14,2011,Transit,0.87,5190
Kepler-181 b,,0.0419466,3.137873,,90,2454966.5556199998,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0,0,0,0,0.00674351,,0.113302,,,2014,Transit,0.749,5333
HD 116029 b,1.9075,1.64869,670,0,40,2455220,36.6,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,0,0,0,0,1.9075,123.198,,1.33,0.08,2011,RV,5.04235,4811
Kepler-207 b,,0.0269045,1.611865,,90,2454966.57041,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0,0,0,0,0.0117295,,0.140066,,,2014,Transit,1.588,5920
Kepler-1156 b,,0.101981,11.89520511,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.00774372,759,0.118,1,0.02,2016,Transit,1,5778
Kepler-1512 b,,0.13139,20.35972599,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.00518721,162,0.105,0.73,0.2,2016,Transit,0.67,4372
Kepler-787 b,,0.0161327,0.9283105,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.00688654,468,0.114,0.65,-0.09,2016,Transit,0.62,4248
Kepler-528 b,,0.143629,19.78297415,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.0154788,711,0.186,1.01,0.02,2016,Transit,1.06,5807
HD 219828 b,0.0622185,0.0515012,3.8334999,0,0,2453898.629,7,Melo 2007,http://adsabs.harvard.edu/abs/2007A%26A...467..721M,Melo 2007,http://adsabs.harvard.edu/abs/2007A%26A...467..721M,0,0,0,0,0.0622185,72.3066,,1.24,0.19,2007,RV,1.4682,5891
Kepler-480 b,,0.0609811,4.9195838,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.0233514,806,0.248,1.25,0.11,2016,Transit,1.34,6322
Kepler-1567 b,,0.5527,153.979578,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.0227057,1226,0.244,0.95,-0.03,2016,Transit,0.93,5655
HD 3167 b,0.0157857,0.0181491,0.959641,0,90,2457394.37454,3.58,Christiansen 2017,http://adsabs.harvard.edu/abs/2017AJ....154..122C,Vanderburg 2016,http://adsabs.harvard.edu/abs/2016ApJ...829L...9V,0,0,0,0,0.015891,45.8,,0.866,0.04,2016,Transit,,5261
Kepler-1390 b,,0.0675681,6.48021673,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.00518721,760,0.105,0.98,-0.01,2016,Transit,0.98,5753
Kepler-1642 b,,0.0994208,12.2057513,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.0304768,447,0.285,0.88,-0.01,2016,Transit,0.84,5355
Kepler-11 c,,0.106909,13.0241,0.0256125,51.3402,2455582.016,,Lissauer 2013,http://adsabs.harvard.edu/abs/2013ApJ...770..131L,Lissauer 2011,http://adsabs.harvard.edu/abs/2011Natur.470...53L,0,0,0,0,0.00912437,,0.255816,0.961,0.0182,2011,Transit,1.065,5663
Kepler-871 b,,0.159318,22.0459018,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.0437521,1695,0.334,1.11,0.09,2016,Transit,1.14,5993
Kepler-1131 b,,0.0458416,3.53232449,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.0118667,1109,0.142,1.03,0.05,2016,Transit,1.04,5851
Kepler-705 b,,0.231978,56.0560538,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.0156727,251,0.188,0.53,0.07,2016,Transit,0.51,3722
HD 1237 b,3.3748,0.494668,133.71001,0.511,290.7,2451545.86,167,Naef 2001,http://adsabs.harvard.edu/abs/2001A%26A...375..205N,Naef 2001,http://adsabs.harvard.edu/abs/2001A%26A...375..205N,0,0,0,0,3.3748,17.4978,,0.9,0.12,2001,RV,0.858011,5536
WASP-21 b,0.300201,0.0521087,4.322482,0,90,2454743.0419,37.2,Bouchy 2010,http://adsabs.harvard.edu/abs/2010A&A...519A..98B,Bouchy 2010,http://adsabs.harvard.edu/abs/2010A&A...519A..98B,0,0,0,0,0.300272,242.131,1.07,1.01,-0.46,2010,Transit,1.06,5800
Kepler-284 c,,0.219317,37.514456,,90,2455022.30068,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0,0,0,0,0.0210192,,0.232849,,,2014,Transit,0.814,5615
Kepler-186 c,,0.0574114,7.267302,0.03,270,2455003.681,,Quintana 2014,http://adsabs.harvard.edu/abs/2014arXiv1404.5667Q,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1404.5667Q,0,0,0,0,0.00636705,151,0.111418,0.478,-0.28,2014,Transit,0.472,3788
HD 4308 b,0.0477376,0.119192,15.56,0,359,2453314.7,4.07,Udry 2006,http://adsabs.harvard.edu/abs/2006A%26A...447..361U,Udry 2006,http://adsabs.harvard.edu/abs/2006A%26A...447..361U,0,0,0,0,0.0477376,22.0556,,0.933,-0.31,2006,RV,0.82259,5695
Kepler-239 b,,0.101225,11.763051,,90,2455013.93614,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0,0,0,0,0.0177874,,0.207869,,,2014,Transit,0.763,4914
Kepler-651 b,,0.146649,21.38521506,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.0181548,537,0.211,0.92,-0.04,2016,Transit,0.87,5522
Kepler-80 f,,0.017386,0.98678706,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.00609283,0,0.11,0.72,-0.562,2016,Transit,0.64,4613
Kepler-1217 b,,0.0320163,2.03232507,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.0147338,1363,0.178,1.06,0.07,2016,Transit,1.08,5905
Kepler-895 b,,0.0337283,2.80624233,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.0115145,516,0.137,0.65,-0.16,2016,Transit,0.61,4315
Kepler-628 b,,0.121444,15.4580567,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.243389,579,0.749,1,0.04,2016,Transit,1.28,5721
Kepler-408 b,0.000699655,0.0366405,2.46502,,,,0.1,Marcy 2014,http://adsabs.harvard.edu/abs/2014ApJS..210...20M,Marcy 2014,http://adsabs.harvard.edu/abs/2014ApJS..210...20M,0,0,0,0,0.000699655,89.0107,0.075104,1.08,-0.2,2014,Transit,1.23,6104
Kepler-174 b,,0.113583,13.98179,,90,2455014.97351,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0,0,0,0,0.014454,,0.174859,,,2014,Transit,0.622,4880
Kepler-440 b,,0.353207,101.11141,0,90,2455756.2986,,Torres 2015,http://adsabs.harvard.edu/abs/2015ApJ...800...99T,Borucki 2010,http://adsabs.harvard.edu/abs/2010Sci...327..977B,0,0,0,0,0.0136945,261,0.165939,0.575,-0.3,2010,Transit,0.559,4134
Kepler-403 d,,0,13.61159129,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.00991268,0,0.127,0,-0.145,2016,Transit,1.33,6090
K2-6 b,,0.19095,30.9446,,,,,Mayo 2018,http://adsabs.harvard.edu/abs/2018AJ....155..136M,Montet 2015,http://adsabs.harvard.edu/abs/2015ApJ...809...25M,0,0,0,0,0.0213284,343,0.234976,0.97,-0.14,2015,Transit,0.96,5850
Kepler-224 d,,0.0988375,11.349393,,90,2454967.31602,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0,0,0,0,0.0174811,,0.205192,,,2014,Transit,0.676,5018
Kepler-389 c,,0.116434,14.51143,,90,2454976.86026,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0,0,0,0,0.0107805,,0.130252,,,2014,Transit,0.792,5376
Kepler-674 b,,0.0282874,2.24338185,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.0125233,302,0.151,0.6,-0.27,2016,Transit,0.57,4192
Kepler-1047 c,,0.0435026,3.18897601,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.00277643,566,0.088,1.08,0.29,2016,Transit,1.13,5754
Kepler-1247 b,,0.106621,13.71220213,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.0178026,1094,0.208,0.86,-0.05,2016,Transit,0.82,5303
Kepler-1210 b,,0.0771394,8.07124073,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.0125983,1155,0.152,0.94,0.04,2016,Transit,0.92,5568
Kepler-254 c,,0.104915,12.412183,,90,2454975.53938,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0,0,0,0,0.0160511,,0.19181,,,2014,Transit,0.91,5957
Kepler-236 c,,0.162691,23.968127,,90,2455019.2169,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0,0,0,0,0.0147725,,0.178428,,,2014,Transit,0.51,3750
WASP-25 b,0.578118,0.0473714,3.764825,0,90,2455274.99649,75.5,Enoch 2011,http://adsabs.harvard.edu/abs/2011MNRAS.410.1631E,Enoch 2011,http://adsabs.harvard.edu/abs/2011MNRAS.410.1631E,0,0,0,0,0.57847,,1.22,1,-0.05,2011,Transit,0.92,5750
Kepler-186 d,,0.0860831,13.342996,0.03,270,2455003.233,,Quintana 2014,http://adsabs.harvard.edu/abs/2014arXiv1404.5667Q,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1404.5667Q,0,0,0,0,0.00934866,151,0.12479,0.478,-0.28,2014,Transit,0.472,3788
Kepler-1646 b,,0.0330793,4.48558383,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.00609283,81,0.11,0.24,0.04,2016,Transit,0.26,3299
HATS-11 b,0.846543,0.0461455,3.6191634,0,90,2457378.4191,112,Bayliss 2018,http://adsabs.harvard.edu/abs/2018AJ....155..119B,Rabus 2016,http://adsabs.harvard.edu/abs/2016AJ....152...88R,0,0,0,0,0.846665,906,1.54056,1,-0.39,2016,Transit,1.444,6060
HD 24040 b,4.02189,4.92406,3668,0.04,154,2454308,47.4,Boisse 2012,http://adsabs.harvard.edu/abs/2012A%26A...545A..55B,Wright 2007,http://adsabs.harvard.edu/abs/2007ApJ...657..533W,0,0,0,0,4.02189,46.5983,,1.18,0.206313,2007,RV,1.15444,5852.73
Kepler-359 c,,0.292189,57.68802,,90,2454972.94136,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0,0,0,0,0.0607789,,0.38362,,,2014,Transit,1.086,6248
Kepler-211 c,,0.0649112,6.04045,,90,2455005.59435,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0,0,0,0,0.00711292,,0.115086,,,2014,Transit,0.816,5123
Kepler-967 b,,0.103279,13.22713379,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.0180364,499,0.21,0.84,-0.03,2016,Transit,0.8,5178
Kepler-1574 b,,0.0726189,6.9424334,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.00709482,1275,0.115,1.06,0.08,2016,Transit,1.08,5892
Kepler-1157 b,,0.0483728,4.45743164,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.00392895,346,0.097,0.76,0.05,2016,Transit,0.71,4679
Kepler-549 b,,0.230006,42.9495649,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.020474,648,0.229,0.88,-0.03,2016,Transit,0.84,5360
Kepler-1510 b,,0.399998,84.703921,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.0340314,1615,0.3,1.19,0.04,2016,Transit,1.28,6200
HD 59686 A b,6.91979,1.08598,299.36,0.05,121,,136.9,Ortiz 2016,http://adsabs.harvard.edu/abs/2016A%26A...595A..55O,Ortiz 2016,http://adsabs.harvard.edu/abs/2016A%26A...595A..55O,0,0,0,0,6.91979,96.8054,,1.9,0.15,2016,RV,13.2,4658
Kepler-1002 b,,0.0556094,4.33642933,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.0126737,425,0.153,1.22,0.04,2016,Transit,1.57,6144
Kepler-294 c,,0.0690438,6.6264,,90,2455016.98818,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0,0,0,0,0.0223552,,0.24177,,,2014,Transit,0.976,5913
Kepler-263 c,,0.256083,47.332773,,90,2454984.4095,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0,0,0,0,0.019315,,0.220359,,,2014,Transit,0.785,5265
Kepler-349 b,,0.0641159,5.929778,,90,2454968.49118,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0,0,0,0,0.0139923,,0.169507,,,2014,Transit,0.927,5956
Kepler-1563 b,,0.0445351,3.43276598,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.00105753,547,0.067,1,0.02,2016,Transit,0.99,5765
Kepler-1611 b,,0.0573666,5.1762429,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.00136198,686,0.072,0.94,0.01,2016,Transit,0.93,5605
Kepler-1284 b,,0.0140554,0.66407381,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.00571923,852,0.108,0.84,0.03,2016,Transit,0.79,5123
HD 200964 b,1.94873,1.64347,613.8,0.04,288,2454900,34.5,Johnson 2011,http://adsabs.harvard.edu/abs/2011AJ....141...16J,Johnson 2011,http://adsabs.harvard.edu/abs/2011AJ....141...16J,0,0,0,0,1.94873,72.2022,,1.57,-0.2,2011,RV,3.80029,5082
Kepler-706 b,,0.223617,41.40831347,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,1,810,1.175,0.87,-0.06,2016,Transit,0.84,5394
HD 147018 b,2.12711,0.238855,44.236,0.4686,335.97,2454459.49,145.33,Segransan 2010,http://adsabs.harvard.edu/abs/2010A%26A...511A..45S,Segransan 2010,http://adsabs.harvard.edu/abs/2010A%26A...511A..45S,0,0,0,0,2.12711,42.9553,,0.927,0.1,2010,RV,1.05268,5441
HD 218566 b,0.212872,0.687282,225.7,0.3,36,2450360,8.3,Meschiari 2011,http://adsabs.harvard.edu/abs/2011ApJ...727..117M,Meschiari 2011,http://adsabs.harvard.edu/abs/2011ApJ...727..117M,0,0,0,0,0.212872,28.5551,,0.85,0.38,2011,RV,0.590728,4820
HD 45364 b,0.187149,0.68156,226.93,0.1684,162.58,2453535.817118141,7.22,Correia 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..521C,Correia 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..521C,0,0,0,0,0.187149,32.6904,,0.82,-0.17,2009,RV,1.02464,5434
Kepler-1177 b,,0.436075,106.247547,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.014034,829,0.17,0.98,0.02,2016,Transit,0.97,5712
Kepler-1364 b,,0.125617,13.32196237,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.0160703,1149,0.192,1.49,0.04,2016,Transit,1.79,6805
Kepler-653 b,,0.118258,14.70748976,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.0143786,593,0.174,1.02,0.23,2016,Transit,1.19,5665
Kepler-553 b,,0.0482066,4.03046804,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0,0,0,0,0.0707577,725,0.413,0.92,0.21,2016,Transit,0.85,5266
Kepler-361 b,,0.081426,8.486616,,90,2454971.01734,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0,0,0,0,0.010538,,0.12936,,,2014,Transit,1.343,6169
Kepler-318 c,,0.101523,11.815007,,90,2454966.08965,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0,0,0,0,0.0419521,,0.328308,,,2014,Transit,1.189,5746
WASP-140 b,2.4185,0.0323373,2.2359835,0.047,-4,,403,Hellier 2017,http://adsabs.harvard.edu/abs/2017MNRAS.465.3693H,Hellier 2017,http://adsabs.harvard.edu/abs/2017MNRAS.465.3693H,0,0,0,0,2.43513,180,1.23957,0.9,0.12,2017,Transit,0.87,5300
Kepler-372 b,,0.0705863,6.849692,,90,2454967.68069,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0,0,0,0,0.00850717,,0.121331,,,2014,Transit,1.137,6509
Kepler-197 e,,0.168262,25.209715,,90,2454987.41342,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0,0,0,0,0.00208313,,0.0811848,,,2014,Transit,1.12,6004
HD 141937 b,9.4752,1.50087,653.21997,0.41,187.72,2451847.38,234.5,Udry 2002,http://adsabs.harvard.edu/abs/2002A%26A...390..267U,Udry 2002,http://adsabs.harvard.edu/abs/2002A%26A...390..267U,0,0,0,0,9.4752,32.2997,,1.048,0.128642,2002,RV,1.06384,5846.82
K2-11 b,,0.25272,39.93767,0,90,2456829.829,,Montet 2015,http://adsabs.harvard.edu/abs/2015ApJ...809...25M,Montet 2015,http://adsabs.harvard.edu/abs/2015ApJ...809...25M,0,0,0,0,1,2019,1.35591,1.35,-0.12,2015,Transit,5.15,5433
Kepler-405 c,,0.187804,29.726682,,90,2456560.20398,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0,0,0,0,0.071727,,0.415737,,,2014,Transit,0.893,5818
